"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"cautela";-3,042;-0,145;-1,931;-2,04;6,054;10,786;-0,174
"calcular";0,341;-1,485;-1,77;4,233;0,048;0,488;-1,542
"briga";9,831;-1,35;0,317;-1,7;-1,876;0,717;-1,402
"bovino";-3,042;-1,62;-0,306;45,83;-0,502;-1,556;-1,683
"bem_informado";3,432;-1,62;0,08;-2,04;-2,251;5,654;-0,174
"batalha";0,171;-0,145;-1,931;-0,37;-2,251;-0,116;15,85
"bala";-0,462;-0,005;-1,448;-1,53;0,281;4,24;0,825
"associated";-1,05;-1,62;-1,931;-2,04;-2,251;-1,556;70,221
"arthur";-0,646;-1,35;-1,609;-1,7;-0,252;46,287;-1,402
"arrecadação";-1,05;-0,145;-0,306;7,133;2,783;-1,556;-1,683
"armazenamento";-3,042;-0,145;-1,931;-0,37;16,36;-1,556;1,801
"apagar";-0,093;-1,62;-0,306;1,063;6,054;-0,116;-1,683
"analisado";-3,042;16,667;0,08;-2,04;0,007;-0,116;-0,174
"amarelo";12,059;-1,215;2,865;-1,53;-1,688;-1,167;-1,262
"aloizio";-2,788;-0,082;54,793;-1,87;-2,063;-1,426;-1,542
"aderir";1,783;-1,485;-0,209;0,119;-2,063;0,488;0,355
"acórdão";-0,844;51,426;-1,77;-1,87;-0,371;-1,426;-1,542
"abc";0,171;-0,145;-0,306;-2,04;10,58;-1,556;-0,174
"164_a";-3,042;-1,62;-1,931;-2,04;64,091;-1,556;-1,683
"zelote";-2,788;-0,082;4,677;-1,87;12,445;-1,426;-1,542
"de";-125,878;3,599;19,457;8,731;2,122;-0,675;10,366
"a";-5,585;4,467;-4,077;0,234;-1,009;-0,004;12,9
"o";-19,383;1,729;0;-2,413;0,238;10,932;4,013
"em";-19,675;3,765;1,981;-0,144;1,766;2,157;-0,214
"que";26,933;-9,105;-18,985;-0,45;4,472;0,197;-0,72
"ser";128,145;-1,391;-97,221;66,448;-32,864;30,815;-101,557
"para";-0,631;-1,542;-4,387;4,251;2,161;5,252;-2,789
"por";-49,362;171,23;23,627;-7,887;18,442;-8,903;-68,532
"não";155,908;-0,011;-36,875;0,061;-41,919;12,337;-27,687
"ir";9,433;-0,089;11,864;-17,098;7,218;9,389;-74,07
"com";0;-47,705;5,787;-0,023;6,688;-0,723;5,763
"um";69,667;-50,824;-84,548;23,613;-20,391;-4,91;71,303
"ter";25,154;-27,984;-5,957;15,852;12,743;-0,026;-41,354
"uma";45,906;-60,326;-57,366;13,392;-21,501;-0,088;78,296
"se";60,603;0,202;-25,548;-2,311;-40,584;23,32;-0,393
"ao";-17,272;-0,018;34,592;-20,222;14,719;9,306;-11,339
"ele";43,53;-3,354;-2,481;-42,103;21,054;3,206;-20,05
"como";21,058;-7,341;-24,265;4,608;0,078;1,342;-2,244
"fazer";48,205;-10,651;-1,041;-4,686;0,589;-0,716;-3,645
"mais";34,344;-10,729;-50,852;47,31;-50,387;-0,693;23,758
"poder";12,126;9,683;-32,445;6,503;-67,834;7,027;6,27
"haver";0,179;26,523;-2,209;0,945;-2,756;-1,011;-5,077
"também";-12,875;4,477;7,034;-1,783;9,011;-3,436;-0,347
"_";0,286;-0,401;-13,912;10,368;-0,595;0,626;0,278
"sobre";-6,408;0,957;12,059;-2,006;-0,676;1,992;-0,211
"seu";0;-9,815;-9,023;-0,461;-15,951;-1,923;163,167
"segundo";-85,88;2,449;12,593;-3,707;46,881;-0,927;2,117
"sua";0,151;3,467;-8,037;-0,411;-2,034;-12,492;40,642
"outro";4,945;2,62;-0,69;0;7,52;-8,106;-13,967
"eu";348,664;-25,896;-28,938;-5,328;-2,702;0,402;-71,823
"todo";15,974;-0,04;0,034;4,129;-3,504;-3,635;-9,83
"estado";-6,084;-25,115;-56,198;1,826;-41,978;-5,417;568,736
"isso";166,408;-6,942;-25,482;8,347;-30,489;-0,401;-17,828
"já";1,015;0,585;-2,003;-0,028;-0,078;8,669;-8,208
"ainda";-11,974;13,002;-0,095;0,801;3,526;1,632;-10,778
"entre";-13,519;-24,123;0,018;4,044;10,343;-0,4;16,644
"contra";-3,59;16,077;5,379;-40,64;-40,306;2,308;69,586
"muito";129,096;-40,909;-53,089;44,26;-45,113;-1,004;1,868
"dois";-1,018;-7,731;0,731;-3,201;4,603;-0,266;9,693
"essa";61,984;-14,658;-15,113;12,654;-6,49;0,32;-10,905
"esse";51,443;-3,606;-26,758;6,197;-3,256;2,894;-14,262
"até";2,202;0,155;-10,001;5,851;-2,005;1,972;-1,592
"quando";14,382;0,277;-3,015;-0,523;-0,562;0,3;-5,076
"milhão";-51,403;-29,325;-3,435;-0,002;626,644;-27,235;-43,938
"primeiro";-1,812;71,15;-3,012;-3,048;-13,928;-0,8;4,18
"sem";11,416;1,129;-1,457;1,323;-4,628;-4,53;-0,475
"porque";76,537;-11,797;-2,881;1,071;-5,021;4,762;-39,297
"ela";68,726;-4,83;-3,858;0,388;-1,811;-1,794;-14,289
"após";-19,344;44,025;3,183;-14,812;-3,847;0,006;10,223
"qualquer";-1,474;7,129;0,201;-6,876;5,89;-17,182;6,367
"qual";3,225;0,297;4,619;-0,024;-13,286;0,114;-1,227
"depois";0,133;-0,004;1,484;-1,951;-1,757;-1,626;6,468
"parte";-5,608;-1,209;-0,408;0,113;16,724;-7,113;5,469
"você";255,901;-27,335;-17,822;-0,718;-19,877;0,326;-21,747
"então";1,673;-13,678;1,357;-3,441;4,227;3,926;-1,899
"quem";37,065;-4,966;-0,947;-0,239;-3,53;6,837;-17,245
"durante";-2,182;12,413;-0,273;-3,936;-1,309;0,617;2,314
"além";-3;1,356;0,339;2,927;0,007;-1,712;-0,092
"nós";94,888;-18,404;-24,758;10,701;-14,201;-0,016;-2,734
"agora";51,118;-0,74;-3,901;-0,607;-23,858;6,092;-3,816
"2";-9,917;-0,815;2,392;2,38;31,185;-4,147;-7,653
"hoje";24,035;-9,653;-3,433;7,318;-6,33;1,3;-4,838
"desde";-0,348;-0,459;0,192;1,233;-5,24;-0,008;5,603
"antes";-2,897;11,471;-4,597;-0,304;-11,765;1,958;16,341
"nome";-1,337;-7,726;6,438;-9,232;17,294;26,496;-23,717
"nenhum";-0,044;-1,223;4,555;-0,044;1,828;0,008;-5,117
"mil";-1,611;-4,995;-1,154;10,779;45,429;-11,644;-7,9
"apenas";0,208;8,6;-4,905;1,277;-0,026;-6,739;0,137
"três";-2,285;2,354;3,505;0,003;0,166;-3,725;-0,074
"assim";16,181;1,529;-5,726;-5,137;-2,699;2,121;-0,605
"fim";1,888;0,301;-2,943;-1,934;-2,232;1,385;2,537
"1";-12,357;2,386;-4,89;20,133;19,396;-3,86;-7,266
"algum";1,437;-3,153;-0,25;0;-0,014;0,311;0,148
"me";82,743;-7,056;-2,557;-8,212;0,878;-0,055;-20,824
"tentar";-0,061;-5,554;0;-0,242;-3,05;9,237;4,673
"5";-16,044;0,06;-0,342;25,103;20,617;-6,089;-7,57
"menos";2,035;-6,518;-4,675;4,348;-2,63;8,93;-0,084
"aqui";69,248;-8,749;-1,151;-1,245;-3,852;1,043;-14,045
"3";-11,404;-0,37;-1,857;31,868;11,366;-8,728;-0,594
"tudo";43,737;-12,518;0,289;-0,023;-2,044;-0,191;-8,956
"trabalho";19,533;-2,941;-3,769;10,04;-11,426;7,159;-15,333
"sempre";31,924;-11,77;-6,215;0,436;3,966;-0,963;-8,258
"cada";0,242;-1,565;-5,647;12,924;-0,247;0,625;-0,888
"2014";-26,445;-3,02;-1,731;-2,395;233,76;-1,252;-23,48
"nunca";14,94;-13,946;0,635;-12,731;19,532;-7,106;-0,142
"4";-16,865;27,074;-2,847;0,005;14,814;-2,482;-1,324
"pro";37,166;-9,381;-4,686;-0,262;6,994;0,013;-21,709
"alguma";9,344;-1,583;0,153;2,225;-8,519;-1,853;0,003
"2016";-9,702;8,148;0,008;3,648;-0,129;-1,531;0,202
"nada";22,53;-2,115;0,051;0,043;-3,967;-0,658;-3,36
"10";-6,847;6,094;-4,686;6,204;5,863;-0,821;-2,067
"nosso";86,286;-7,322;-10,445;6,089;-17,347;-4,285;-1,707
"2017";-10,932;-0,475;0,644;22,708;-4,631;-0,08;2,042
"dentro";13,431;0,042;-0,002;-0,002;-2,545;-0,02;-7,165
"vário";3,64;0,069;-5,703;-0,807;-3,911;-0,807;15,627
"6";-12,739;26,548;-7,055;6,967;4,545;-9,18;-0,032
"aí";28,022;-2,953;-1,103;0,466;-4,375;1,833;-11,554
"abaixo";-7,836;0,465;78,597;-1,51;-1,327;-0,208;-12,501
"minha";87,704;-6,98;-6,919;-0,105;-4,625;0,564;-16,605
"quanto";-0,191;0,053;-1,44;2,848;-0,158;0,152;-0,032
"meu";48,568;-0,445;-0,262;-2,962;-0,371;-0,649;-16,178
"12";-7,363;33,262;-0,241;-0,213;0,008;-0,037;-1,601
"sob";0,572;1,047;4,154;0,304;-13,382;-3,189;1,269
"bilhão";-24,555;-11,41;-16,395;120,666;37,564;-5,8;-6,792
"nossa";55,965;-9,222;-12,161;4,897;-17,207;-1,566;0,92
"aquele";2,885;-1,469;-3,198;1,645;0,36;-1,171;0
"lá";76,172;-9,668;-0,686;-5,484;-0,349;-0,456;-8,492
"tanto";4,263;0,012;-3,407;0,086;-0,72;1,225;-1,29
"quatro";-3,996;2,141;-1,279;-1,106;-0,014;-0,171;14,86
"este";0,918;-1,322;-2,886;0,24;0,009;-3,599;8,754
"ninguém";33,198;-9,147;3,179;-1,319;-9,246;0,002;-1,897
"muita";39,006;-9,538;-5,864;2,81;-8,213;-0,123;-0,104
"esta";0,071;0,725;-0,394;-0,089;-2,037;-1,053;5,737
"2018";-6,42;-5,372;-2,988;7,861;-17,983;104,443;-1,034
"20";-0,321;2,261;-1,872;5,881;0,187;-0,146;-4,25
"2015";-15,697;0,564;0,009;6,624;15,454;-3,126;-1,978
"apesar";0,051;-1,064;-0,238;-3,063;-0,597;0,074;13,867
"tal";2,381;2,515;-1,153;-0,022;1,853;-6,355;-1,506
"8";-7,695;4,982;-2,574;8,631;-0,038;-0,002;0
"entanto";-2,586;15,714;-3,311;-0,142;-0,54;0,095;0,804
"quase";2,986;-2,085;-9,402;4,032;-0,652;-1,056;5,178
"verdade";2,937;-0,012;-1,577;-1,314;5,377;-0,355;-2,056
"sim";1,496;-2,66;-0,47;3,72;-0,426;3,52;-5,446
"15";-0,359;2,382;-0,747;0,143;0,703;-0,247;-0,539
"30";-1,106;-1,452;2,241;2,44;0,112;0,028;-1,72
"seis";-4,046;22,576;-0,25;-3,334;-1,007;2,164;-0,003
"9";-4,942;29,589;-4,945;3,8;0,022;-0,509;-3,485
"diante";0,135;-3,682;-0,279;0,238;-3,504;1,282;6,017
"cinco";-0,264;1,502;1,424;3,485;-1,887;-2,414;-0,647
"tão";26,62;-8,611;-3,255;1,636;-3,77;-2,414;0,597
"embora";-0,002;11,624;-3,371;-0,054;-0,318;-1,586;0,533
"7";-3,747;-0,837;-1,205;2,045;3,669;0,034;0,339
"inclusive";-0,41;-0,166;-0,081;1,165;2,594;0,149;-3,368
"algo";31,793;-2,639;-1,954;-0,835;-11,061;-0,02;0,974
"demais";0,328;5,32;-0,095;0,029;-0,021;-1,176;-2,62
"alguém";17,613;-0,522;-0,258;0,099;-1,59;-0,963;-3,502
"100";-1,283;-2,352;-6,82;12,22;9,555;-1,142;-0,252
"2010";-11,801;-5,864;-3,017;-0,284;109,363;0,359;-10,289
"2013";-3,151;-0,469;-3,264;-0,086;33,294;-1,715;-0,006
"maioria";-0,117;0,987;-3,906;0,081;-7,003;31,715;-1,729
"aquela";9,147;-0,2;-1,545;-0,122;0,001;0,169;-4,059
"19";0,006;1,204;3,862;-0,984;-3,657;7,551;-7,425
"j";-17,828;-9,495;141,719;-11,959;12,964;-5,144;-5,81
"11";-0,341;3,208;5,072;-0,478;-0,392;-5,021;0,037
"13";-0,22;0,595;-2,304;1,295;1,324;0,792;-3,813
"ontem";0,731;2,214;-0,828;-0,097;-3,926;7,958;-3,09
"acima";0,072;-0,077;1,165;1,582;0,064;-0,032;-7,007
"18";-0,011;-0,494;50,354;0,021;-2,236;-4,655;-9,297
"50";-0,794;-3,96;-7,182;8,017;18,287;-0,073;-2,738
"24";-4,851;42,927;-0,6;-0,282;-3,463;-0,466;0,122
"jamais";-2,898;-1,661;1,742;-6,242;46,516;-2,592;-1,868
"mim";58,242;-3,96;-5,285;-2,729;0,444;-2,276;-6,034
"16";-0,056;0,002;0,136;-0,818;1,055;0,021;-0,204
"somente";-2,558;46,946;-2,484;2,697;-0,221;-3,812;-6,173
"26";0,052;1,917;-0,464;-5,433;-0,095;1,173;0,747
"25";-2,231;-3,836;-0,53;13,429;-0,529;-3,575;10,455
"talvez";1,511;-2,288;-6,863;3,427;-3,16;-0,358;10,971
"ali";27,376;-3,712;-2,121;3,427;-1,989;-2,07;-3,966
"40";0,504;-2,074;-0,958;0,699;0,858;-0,007;-0,07
"21";-0,001;-0,411;0,293;0,151;0,014;2,451;-3,837
"dez";1,221;0,928;0,253;0,587;-6,991;0,384;-1,735
"ambos";-0,506;-5,345;0,869;-2,338;-3,011;0,086;29,713
"23";-6,052;33,979;0,253;-0,738;-3,455;-0,078;0
"14";-0,059;17,035;-0,87;0,014;-1,615;0,158;-3,581
"logo";0,351;11,854;-0,001;-0,918;-5,422;0,897;-1,95
"17";-5,29;0,089;29,634;0,26;-2,717;-0,217;-2,17
"sexto";-0,001;-0,723;0,725;-1,719;-1,264;-1,479;14,613
"realmente";0,56;-2,86;-1,333;0,129;-1,152;0,384;4,713
"principalmente";1,462;-7,043;-0,234;3,081;-0,006;0,204;-0,346
"atualmente";-2,096;0,001;0,725;2,264;-3,616;1,015;0,136
"___________________";82,615;-6,227;-7,424;-0,496;-4,543;-0,016;-6,469
"diretamente";-0,945;-1,46;7,073;1,548;0,924;-4,182;-0,699
"500";-5,755;-0,736;2,517;-0,66;14,238;-5,2;1,011
"2009";-3,052;-4,552;-0,106;-0,002;40,786;-1,386;-1,735
"sete";-3,794;0,49;0,485;0,018;0,09;-0,35;1,116
"28";0,174;-1,082;0,694;-0,354;-6,065;3,51;1,423
"si";0,002;0,683;-7,1;8,033;-0,649;0;-0,035
"perto";1,17;-4,026;-1,953;-2,244;-4,369;-2,196;56,138
"recentemente";3,694;-2,271;-3,204;1,253;-6,065;0,204;4,465
"lhe";0,114;-0,387;0,11;2,159;0,135;-1,026;-1,324
"300";-4,018;-3,375;-2,634;7,749;21,55;-5,2;0,002
"2012";-6,475;-2,156;-0,748;-3,386;46,152;0,262;-0,357
"especialmente";3,376;0,004;-2,775;0;-2,219;-0,699;3,564
"absolutamente";0,34;-0,224;-1,589;1,621;2,042;-0,157;-2,215
"2011";-7,552;-0,099;-4,177;-0,091;48,582;-1,55;-0,15
"oito";-1,478;-0,736;-1,356;5,448;0,089;2,876;-0,854
"27";0,391;-2,987;-2,218;6,918;0,005;-0,413;0,052
"2006";-8,054;-3,504;-2,775;-0,179;28,899;0,021;1,992
"bastante";17,446;-1,595;-2,356;4,274;-4,961;-0,033;-3,298
"80";-0,893;-4,869;-5,805;7,481;0,021;-2,687;19,012
"22";-3,583;0,059;4,964;-0,057;0;3,447;-3,298
"2008";-0,182;4,32;-0,499;0,971;0,537;-3,18;-0,854
"através";-0,038;-2,987;-1,026;-2,484;35,321;-2,809;-0,075
"31";2,399;-0,021;-0,921;-2,338;2,307;0,96;-3,03
"xi";-6,552;-4,734;-5,643;0,195;-6,579;-4,548;149,316
"atrás";18,624;-1,487;-3,865;12,709;-3,007;-4,809;-3,164
"s";0,234;-4,598;4,551;-2,049;4,764;0,003;-2,764
"totalmente";-1,507;-4,598;-1,814;2,23;-2,515;-4,418;52,28
"sequer";-0,763;2,208;4,141;-2,193;1,321;-0,29;-2,897
"aquilo";9,103;-0,144;-0,023;0,585;-2,036;-0,098;-4,354
"60";-0,014;-2,225;-0,023;18,822;-3,687;0,063;-0,982
"provavelmente";0,234;-1,173;-5,481;-0,208;-0,03;1,281;6,363
"0";-5,31;-0,102;-4,835;43,045;-0,136;0,103;-2,238
"extremamente";12,006;-2,225;-1,426;3,19;-5,825;0,063;-0,982
"cuja";-3,646;-0,876;-1,426;0,065;15,991;0,063;-0,197
"novamente";3,215;0,657;-2,788;-5,108;0,018;-0,064;1,659
"longe";19,38;-1,852;-2,485;1,079;-5,26;-0,518;-0,065
"isto";0,068;-0,015;-0,17;1,294;-1,428;-0,44;0,975
"exatamente";0,982;-1,975;-2,636;0,892;-0,647;2,433;0,061
"quê";15,453;-0,602;-2,485;-0,327;-1,576;1,127;-1,978
"nove";-2,53;12,858;0,051;0,466;-2,793;-1,491;0,232
"b";0,133;-0,003;-2,185;0,016;0,233;3,457;-1,723
"aliás";2,481;0,956;-0,231;-0,001;-0,543;0,219;-3,932
"70";0,068;-1,729;-2,335;19,525;-0,444;-0,44;-0,598
"trás";30,686;-3,649;-4,35;0,002;-5,072;-1,607;0,975
"supostamente";-1,046;-0,361;2,163;-0,128;4,956;-3,246;-0,002
"cujo";-0,048;-0,518;0,021;0,349;-0,444;0,298;0,16
"35";-1,893;-0,224;-0,013;0,153;3,721;0,056;-0,276
"sobretudo";2,571;0,009;-3,866;2,128;-0,195;-0,233;-0,349
"politicamente";5,387;-0,437;-0,828;0,466;-0,353;0;-1,723
"imediatamente";-0,275;0;-2,037;-0,858;-4,695;0,506;23,374
"200";-0,733;-1,25;-1,744;11,246;3,721;-1,151;-1,348
"te";19,909;-1,487;0,097;-0,128;-1,142;-1,377;-3,51
"comigo";8,798;-1,487;-0,719;0,044;0,001;0,007;-3,51
"29";-0,885;-0,289;0,983;0,089;-4,507;0,64;3,605
"2005";-2,315;0,405;-0,719;0,044;4,956;0,506;-1,597
"150";-1,689;-1,133;-0,418;5,314;10,467;-1,041;-3,088
"pessoalmente";-0,885;-0,289;-1,89;-4,085;32,753;-3,116;0,428
"infelizmente";-0,113;-3,108;0,242;7,623;-0,13;-0,175;-0,276
"completamente";13,241;-3,243;-1,89;-0,079;-4,507;-0,233;3,605
"90";2,571;-1,368;-3,866;10,232;-2,442;-0,233;0,001
"2007";-0,056;0,065;-3,543;2,888;4,263;-2,856;-0,209
"zero";1,192;0,186;-0,249;1,773;-0,504;-0,826;-0,987
"posteriormente";-1,893;2,138;-0,013;-3,914;9,449;-2,986;0,557
"perante";-0,113;21,968;-1,744;-0,63;0,615;-2,986;-1,348
"cedo";3,569;-2,972;0,347;-1,767;-4,131;2,75;0,71
"exclusivamente";-5,581;2,475;-0,001;-0,523;14,597;-0,123;-3,088
"2002";-1,489;-0,112;-0,33;-1,614;11,6;1,19;-1,106
"inicialmente";-5,073;6,279;0,635;-0,33;1,28;-0,043;-0,987
"praticamente";3,267;-2,566;-1,176;2,134;-1,585;0,35;-0,055
"oficialmente";-0,001;-2,702;11,481;-0,33;-1,753;0,246;-0,097
"efetivamente";-0,001;1,26;-3,221;-3,403;12,864;-0,826;-0,097
"publicamente";-0,14;-0,01;1,059;-1,167;-3,379;8,486;-0,023
"justamente";5,661;-0,796;-0,176;2,134;-3,567;-0,722;-0,055
"cima";5,661;-2,566;-3,059;0,654;-0,396;1,721;-0,871
"amanhã";2,404;0,54;-0,906;-0,104;-3,191;0,64;-0,004
"afinal";0,441;-0,796;-0,176;0,025;0,397;1,721;-2,666
"38";0,008;-0,796;0,06;2,134;-0,396;-0,722;0,216
"1990";-0,14;-0,01;-2,898;0,862;4,177;-2,336;0,321
"simplesmente";0,641;-0,689;-0,113;0,862;-1,419;0,479;-0,023
"necessariamente";3,903;0,394;-2,898;-0,169;0,011;-0,621;-0,023
"in";0,046;-0,01;-1,039;5,141;-3,379;-2,336;4,013
"certamente";3,903;-0,01;-1,039;-1,167;-0,296;0,479;-0,023
"2000";0,641;-2,431;-2,898;5,141;-1,419;-0,002;1,651
"igualmente";2,404;2,205;-0,906;0,134;-1,256;-2,206;-0,004
"32";0,228;0,006;0,322;3,613;-0,13;-2,076;-2,245
"h";-0,021;-2,161;-0,024;-2,721;1,024;-2,076;14,713
"finalmente";1,606;-0,39;-2,415;-0,017;-0,939;3,416;0,015
"eventualmente";-0,021;2,632;-2,576;1,418;-0,13;-0,43;0,001
"cá";20,109;-2,025;-0,65;0,363;-2,815;-1,946;-0,44
"51";-0,305;-1,89;0,675;-2,381;18,037;-0,258;-1,964
"enfim";10,223;-2,025;-2,415;1,786;-0,939;0,051;-2,104
"ei";2,69;-1,755;-2,092;-0,489;-2,439;-1,686;20,853
"d";-1,483;1,22;-2,253;-0,001;18,037;-1,816;-1,964
"aproximadamente";-1,707;-0,39;-0,65;-0,017;15,931;-0,341;-0,44
"83";-1,707;-2,025;55,078;-0,746;-2,815;-1,946;-0,44
"45";0,901;-0,218;-2,092;-0,489;0,521;-0,183;1,405
"41";-0,028;-0,082;-1,77;1,443;-0,371;6,719;-1,542
"2001";-1,707;11,339;-2,415;-0,746;-0,939;-0,341;6,171
"obviamente";0,013;-0,301;-2,253;0,539;-2,627;4,037;1,086
"claramente";-3,549;-1,89;-0,528;9,069;-2,627;1,369;3,448
"anteriormente";-0,305;3,728;-2,253;-2,381;1,724;-1,816;3,448
"800";-1,483;-1,89;-2,253;2,23;12,345;-1,816;0,052
"33";-0,305;-0,301;2,546;2,23;-0,787;-1,816;0,052
"000";-1,264;-1,755;-0,414;-0,489;2,199;-1,686;13,848
"w";-1,264;-1,755;-2,092;-0,489;-2,439;-1,686;63,163
"p";4,408;0,003;-0,012;-1,36;-1,5;1,443;-1,122
"independentemente";-0,093;-0,145;13,156;0,045;-2,251;-1,556;-0,174
"evidentemente";1,284;-0,145;-1,931;-2,04;0,768;5,654;-1,683
"diariamente";0,341;-1,485;0,173;0,119;-0,371;2,708;-1,542
"acercar";-1,05;-0,145;1,252;-2,04;6,054;0,319;-1,683
"400";-2,281;-1,215;0,529;2,569;0,281;-0,001;-0,012
"temporariamente";-3,042;-0,145;1,252;18,579;-2,251;-1,556;-0,174
"rapidamente";0,171;-1,62;0,08;-0,37;-2,251;2,165;1,801
"profundamente";1,284;-0,145;3,821;0,045;-2,251;-1,556;-0,174
"mediante";-3,042;-0,145;1,252;-2,04;23,396;-1,556;-1,683
"especificamente";-0,844;2,49;-1,77;-1,87;7,292;-1,426;0,355
"cem";1,284;-1,62;0,08;0,045;-2,251;2,165;-0,174
"adiante";0,341;-0,082;-1,77;0,119;-0,371;2,708;-0,104
"600";0,171;-1,62;-1,931;1,063;0,768;-0,116;0,214
"59";-0,844;-1,485;-1,77;-0,261;-2,063;-1,426;49,384
"1970";0,171;-1,62;-0,306;3,426;-2,251;-0,116;1,801
"devidamente";-2,534;0,63;2,188;-0,165;4,415;-1,297;-1,402
"basicamente";0,341;-1,485;0,173;-1,87;1,093;-0,061;0,355
"87";0,341;0,417;0,173;-0,261;1,093;-1,426;-1,542
"73";0,341;-1,485;-1,77;1,443;7,292;-1,426;-1,542
"700";-0,462;-1,215;-1,448;-0,084;2,087;-1,167;8,641
"52";4,354;-1,485;-0,209;0,119;0,048;-0,061;-1,542
"48";-0,028;0,417;0,173;1,443;0,048;-1,426;-1,542
"37";0,341;-0,082;-0,209;0,119;0,048;-0,061;-0,104
"1980";-0,028;-1,485;-0,209;14,212;-0,371;-0,061;-1,542
"107";-2,788;-1,485;42,628;0,119;-2,063;-1,426;-1,542
"09";-2,788;-0,082;-1,77;-0,261;36,118;-1,426;-1,542
"v";0;0,63;-1,609;-0,165;1,522;0,717;-1,402
"tampouco";0;0,63;0,317;0,242;0,134;-1,297;-1,402
"quão";0,963;-1,215;-1,448;2,569;-1,688;-1,167;3,701
"normalmente";0,963;-1,215;-0,057;-0,084;0,281;-0,001;-0,012
"indevidamente";-0,646;0,63;2,188;-0,165;1,522;-1,297;-1,402
"i";-0,646;0,63;0,317;-0,165;4,415;-1,297;-1,402
"facilmente";0,596;-1,35;-0,124;0,242;-1,876;-0,021;2,913
"expressamente";-2,534;7,556;0,317;0,242;0,134;-1,297;-1,402
"definitivamente";-0,646;0,63;-1,609;-0,165;-1,876;-0,021;13,206
"consigo";18,517;-1,215;-1,448;-0,084;-1,688;-1,167;-0,012
"77";-2,534;-1,35;10,961;0,242;0,134;-0,021;-1,402
"76";0;0,63;2,188;-0,165;0,134;-1,297;-1,402
"66";5,511;-1,35;-1,609;-0,165;0,134;0,717;-1,402
"47";0,596;-0,034;-0,124;1,932;0,134;-1,297;-1,402
"2003";-2,281;-0,005;0,529;0,431;2,087;-1,167;-0,012
"170";-2,534;-1,35;0,317;5,236;0,134;-0,021;-0,049
"120";-1,773;1,863;0,001;10,252;-1,313;-0,907;-0,981
"r";0,023;-1,215;-1,448;-1,53;-1,688;-0,001;24,71
"possivelmente";0,114;0,003;-1,287;-0,026;0,512;-1,037;1,2
"m";0,963;-1,215;-0,057;-1,53;10,718;-1,167;-1,262
"formalmente";-0,462;0,919;-0,057;-0,084;2,087;-0,001;-1,262
"excelência";0,963;3,958;-1,448;-0,084;0,281;-1,167;-1,262
"espontaneamente";0,963;-0,005;0,529;-1,53;0,281;-0,001;-1,262
"ah";0,963;-1,215;-0,057;2,569;-1,688;1,025;-1,262
"64";-0,462;9,119;-1,448;2,569;-0,148;-1,167;-1,262
"56";-0,462;-1,215;-1,448;6,499;-0,148;-0,001;0,825
"46";0,114;-1,08;-0,012;0,708;0,512;-1,037;0
"36";1,485;1,315;-0,012;-1,36;-0,065;0,008;-1,122
"34";0,114;1,315;-0,012;3,406;-1,5;-1,037;-1,122
"308";-2,281;-1,215;-1,448;-1,53;-1,688;69,516;-1,262
"2020";-0,462;-0,005;-1,448;0,431;-0,148;1,025;0,825
"2004";-0,462;0,919;-1,448;2,569;2,087;-1,167;-1,262
"03";-2,281;3,958;0,529;-1,53;5,566;-1,167;-1,262
"00";-1,773;0,039;-1,126;0;16,315;-0,907;-0,981
"senão";0,114;-1,08;-0,012;-1,36;0,512;5,342;-1,122
"respectivamente";0,304;0,039;0,001;0;-0,012;-0,907;0,026
"relativamente";4,408;0,003;-1,287;-0,026;0,512;-1,037;-1,122
"naturalmente";0,114;0,003;-1,287;8,12;-0,065;-1,037;-1,122
"individualmente";-1,52;0,131;-0,965;6,089;0,004;0,16;-0,841
"aparentemente";0,114;1,315;-1,287;-0,026;-0,065;-1,037;1,2
"abertamente";1,485;-1,08;-0,012;-1,36;-1,5;0,008;4,721
"__";2,229;-0,945;-1,126;-1,19;-1,313;2,017;1,723
"75";-0,295;0,003;-1,287;8,12;-0,065;0,008;-1,122
"65";-0,295;-1,08;-0,012;3,406;-0,065;1,443;-1,122
"61";-1,773;-0,945;-1,126;4,532;3,862;-0,907;0,026
"1964";14,908;-1,08;-1,287;-1,36;-1,5;1,443;-1,122
"1960";8,882;-1,08;-1,287;-0,026;-1,5;0,008;0
"05";-0,295;-1,08;8,768;-1,36;2,84;-1,037;-1,122
"04";-2,027;30,456;-1,287;-0,026;-0,065;-1,037;-1,122
"trilhão";0,642;-0,81;-0,965;13,153;-1,125;-0,778;-0,841
"salvo";-0,152;1,863;-1,126;1,114;-1,313;-0,907;1,723
"rigorosamente";-1,773;-0,945;1,272;4,532;0,862;-0,907;-0,981
"propriamente";0,642;0,131;1,91;-1,02;0,004;-0,778;-0,841
"previamente";-0,152;-0,945;1,272;0;-1,313;0,055;1,723
"preventivamente";-1,773;0,039;19,461;-1,19;-1,313;-0,907;0,026
"internamente";-0,152;-0,945;0,001;0;0,862;0,055;0,026
"57";-0,047;0,131;-0,965;6,089;-1,125;0,16;-0,841
"55";-1,773;0,039;1,272;1,114;-1,313;2,017;-0,981
"54";-0,152;-0,945;-1,126;1,114;-0,012;6,795;-0,981
"418";-1,773;-0,945;-1,126;-1,19;37,371;-0,907;-0,981
